이름,URL,최종 URL,티어,티어명,태그,판정근거,라이브러리,문서높이,고정요소,상태
삼성생명 다이렉트,https://direct.samsunglife.com/,https://direct.samsunglife.com/main,T1,등장형,S H,등장 대기 요소 105개 / (참고) infinite 키프레임 규칙 32건 — 실행 여부는 미확인,,3369,10,측정됨
파르나스호텔,https://www.parnashotel.com/,,T3,스크롤 연동형,S H,지연 로딩 이미지 5개 / 등장 대기 요소 15개 / IntersectionObserver 2회 생성 / (참고) infinite 키프레임 규칙 4건 — 실행 여부는 미확인 / 핀 고정 섹션 1개,,4927,6,측정됨
화천,https://www.hwacheon.com/,https://www.hwacheon.com/ko/index,T4,실시간 렌더형,S L H M,"등장 대기 요소 20개 / ScrollTrigger(등장용으로 추정) / 자동재생·루프 비디오 15개 / (참고) infinite 키프레임 규칙 3건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인 / 핀 고정 섹션 1개 / 캔버스에 매 프레임 그리는 중 (rAF 124회/초, 화면의 100%)",gsap scrollTrigger lenis swiper,12200,14,측정됨
토스임팩트,https://toss.im/impact,,T2,순환형,S,등장 대기 요소 16개 / IntersectionObserver 2회 생성 / 자동재생·루프 비디오 1개,,7713,2,측정됨
토스,https://toss.im/,,T4,실시간 렌더형,S L M,"등장 대기 요소 8개 / IntersectionObserver 12회 생성 / 자동재생·루프 비디오 1개 / 핀 고정 섹션 4개 / 캔버스에 매 프레임 그리는 중 (rAF 60회/초, 화면의 100%)",lenis,50964,7,측정됨
토스플레이스,https://tossplace.com/,,T4,실시간 렌더형,S,등장 대기 요소 10개 / IntersectionObserver 5회 생성 / 자동재생·루프 비디오 1개 / WebGL 컨텍스트 1개,,909,9,측정됨
토스증권,https://corp.tossinvest.com/ko,,T3,스크롤 연동형,S,지연 로딩 이미지 7개 / 등장 대기 요소 9개 / IntersectionObserver 19회 생성 / 자동재생·루프 비디오 6개 / 핀 고정 섹션 1개,,7818,3,측정됨
구다이글로벌,https://www.goodai-global.com/,https://www.goodai-global.com/ko,T3,스크롤 연동형,S,등장 대기 요소 16개 / (참고) infinite 키프레임 규칙 2건 — 실행 여부는 미확인 / 핀 고정 섹션 1개,,5108,1,측정됨
케이웨딩,https://k-wedding.co.kr/,,T2,순환형,S L H,등장 대기 요소 107개 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 1개 / (참고) infinite 키프레임 규칙 4건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인,gsap scrollTrigger swiper,11528,8,측정됨
국립한국교통대 K-철도교육,https://ktiec.ut.ac.kr/,,T3,스크롤 연동형,S H M,등장 대기 요소 57개 / 등장 애니메이션 라이브러리 / ScrollTrigger(등장용으로 추정) / 실행 중인 무한 반복 애니메이션 3개 / 자동재생·루프 비디오 1개 / (참고) infinite 키프레임 규칙 4건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인 / 핀 고정 섹션 3개,gsap scrollTrigger lenis aos swiper,9803,12,측정됨
CUCKOO,https://www.cuckoo.co.kr/,,T4,실시간 렌더형,S L,등장 대기 요소 51개 / WebGL 컨텍스트 2개,gsap,10868,4,측정됨
정원e샵,https://www.jungoneshop.com/,,T4,실시간 렌더형,S H,등장 대기 요소 4개 / (참고) infinite 키프레임 규칙 5건 — 실행 여부는 미확인 / (참고) 슬라이더 라이브러리(Swiper) — 자동재생 여부는 미확인 / WebGL 컨텍스트 1개,swiper scrollMagic,9696,141,측정됨
